epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,348.739,1.10683,0.77067,1.20588,0.9137,0.91457,0.95748,0.60182,1.33292,0.6744,1.34675,0.000657025,0.000657025,0.000657025
58,354.063,1.09442,0.76493,1.19685,0.92184,0.91852,0.96008,0.62189,1.26892,0.64828,1.29959,0.000652526,0.000652526,0.000652526
59,359.391,1.08877,0.76049,1.20067,0.9525,0.91291,0.97238,0.63144,1.25952,0.616,1.31377,0.000648026,0.000648026,0.000648026
60,364.696,1.07905,0.75453,1.19651,0.9202,0.94503,0.97335,0.63056,1.27372,0.59153,1.3169,0.000643527,0.000643527,0.000643527
61,369.918,1.07687,0.77686,1.20105,0.89251,0.95951,0.97146,0.63055,1.25826,0.59887,1.32239,0.000639027,0.000639027,0.000639027
62,375.288,1.07888,0.73216,1.18845,0.84532,0.89661,0.93125,0.541,1.45502,0.81166,1.42853,0.000634527,0.000634527,0.000634527
63,380.569,1.06788,0.71552,1.17001,0.93164,0.93411,0.97452,0.62975,1.29046,0.59194,1.31843,0.000630028,0.000630028,0.000630028
64,385.837,1.06267,0.73746,1.19249,0.93745,0.94295,0.98137,0.62487,1.29412,0.57569,1.352,0.000625528,0.000625528,0.000625528
65,391.206,1.08298,0.75425,1.19887,0.94665,0.91774,0.95387,0.61274,1.30239,0.63439,1.31071,0.000621029,0.000621029,0.000621029
66,396.475,1.0434,0.71485,1.17764,0.92522,0.93204,0.964,0.61172,1.27517,0.63403,1.31252,0.000616529,0.000616529,0.000616529
67,401.741,1.06825,0.74245,1.19182,0.92615,0.95526,0.96606,0.62268,1.29224,0.6078,1.30687,0.00061203,0.00061203,0.00061203
68,407.348,1.04587,0.70899,1.17012,0.91803,0.94385,0.9796,0.60899,1.32265,0.6085,1.34873,0.00060753,0.00060753,0.00060753
69,413.51,1.04949,0.72362,1.18075,0.94004,0.9562,0.97648,0.62507,1.27417,0.59675,1.30876,0.000603031,0.000603031,0.000603031
70,419.524,1.04669,0.73317,1.18538,0.94158,0.94208,0.97027,0.62179,1.31694,0.61662,1.33147,0.000598531,0.000598531,0.000598531
71,426.216,1.06085,0.71225,1.18133,0.94311,0.94697,0.96754,0.6223,1.25434,0.59434,1.28541,0.000594031,0.000594031,0.000594031
72,432.173,1.05635,0.72977,1.17647,0.94223,0.94223,0.97104,0.6261,1.25124,0.59872,1.29273,0.000589532,0.000589532,0.000589532
73,438.435,1.033,0.71807,1.16815,0.92363,0.93125,0.96949,0.60798,1.2999,0.62663,1.34237,0.000585032,0.000585032,0.000585032
74,444.898,1.05129,0.70769,1.17095,0.90569,0.96366,0.96657,0.61489,1.29088,0.58029,1.32755,0.000580533,0.000580533,0.000580533
75,451.094,1.03488,0.69921,1.17169,0.96175,0.9415,0.97933,0.63688,1.25049,0.56942,1.3034,0.000576033,0.000576033,0.000576033
76,457.558,1.01605,0.69514,1.15645,0.90466,0.94224,0.95538,0.6041,1.31956,0.67499,1.33796,0.000571534,0.000571534,0.000571534
77,463.805,1.01974,0.6851,1.15923,0.92306,0.96409,0.96239,0.63888,1.24056,0.56536,1.27721,0.000567034,0.000567034,0.000567034
78,470.271,1.02033,0.69034,1.16474,0.94271,0.96079,0.97781,0.63472,1.27268,0.56685,1.31349,0.000562535,0.000562535,0.000562535
79,476.536,1.02438,0.71344,1.17131,0.94681,0.95184,0.97152,0.62047,1.28182,0.58723,1.33837,0.000558035,0.000558035,0.000558035
80,482.749,1.01236,0.68685,1.15673,0.92975,0.90168,0.95787,0.59904,1.3132,0.63797,1.3393,0.000553536,0.000553536,0.000553536
81,488.874,0.98543,0.68206,1.15455,0.93817,0.93588,0.95172,0.60941,1.27534,0.59448,1.32458,0.000549036,0.000549036,0.000549036
82,495.433,1.01936,0.66566,1.15866,0.93333,0.96708,0.96961,0.61982,1.30625,0.56641,1.32657,0.000544536,0.000544536,0.000544536
83,502.045,1.00561,0.67882,1.14833,0.92486,0.93723,0.96526,0.60763,1.32669,0.61339,1.34845,0.000540037,0.000540037,0.000540037
84,508.186,0.98496,0.65945,1.13504,0.91269,0.93986,0.9682,0.62504,1.28532,0.6023,1.31749,0.000535537,0.000535537,0.000535537
85,514.472,1.00201,0.68091,1.14609,0.91007,0.94499,0.96236,0.61873,1.29202,0.6051,1.31646,0.000531038,0.000531038,0.000531038
86,519.756,0.98287,0.6576,1.13112,0.90455,0.92174,0.96491,0.62681,1.27358,0.60784,1.30787,0.000526538,0.000526538,0.000526538
87,525.167,1.01101,0.6637,1.14997,0.91579,0.94325,0.97049,0.62447,1.26855,0.58436,1.30932,0.000522039,0.000522039,0.000522039
88,530.593,0.99813,0.6756,1.15169,0.94522,0.91759,0.96942,0.62429,1.2804,0.58382,1.32517,0.000517539,0.000517539,0.000517539
89,535.871,0.98288,0.66233,1.13519,0.93885,0.94845,0.97443,0.62325,1.29744,0.5759,1.33936,0.00051304,0.00051304,0.00051304
90,541.234,0.99242,0.6789,1.14918,0.90528,0.93408,0.9546,0.6187,1.27347,0.63133,1.30474,0.00050854,0.00050854,0.00050854
91,546.805,0.97497,0.64784,1.14399,0.91776,0.96745,0.97825,0.63802,1.27104,0.55959,1.32504,0.00050404,0.00050404,0.00050404
92,552.359,0.97472,0.65877,1.14462,0.96364,0.91276,0.9721,0.61548,1.30393,0.57993,1.34198,0.000499541,0.000499541,0.000499541
93,557.856,0.96954,0.65988,1.14212,0.94992,0.92571,0.97805,0.6232,1.30338,0.59111,1.34781,0.000495041,0.000495041,0.000495041
94,563.423,0.96775,0.66082,1.15107,0.94704,0.94702,0.97741,0.61699,1.37249,0.57113,1.38772,0.000490542,0.000490542,0.000490542
95,569.175,0.95904,0.64347,1.13806,0.94569,0.91826,0.96563,0.60798,1.34743,0.5973,1.36486,0.000486042,0.000486042,0.000486042
96,574.559,0.94254,0.63629,1.11705,0.95399,0.93708,0.97935,0.62492,1.27885,0.55676,1.33153,0.000481543,0.000481543,0.000481543
97,580.033,0.96347,0.64659,1.13133,0.93627,0.93048,0.96779,0.62455,1.30209,0.58932,1.32696,0.000477043,0.000477043,0.000477043
98,585.424,0.98563,0.66123,1.13807,0.91768,0.93386,0.96878,0.62252,1.2863,0.60736,1.32409,0.000472544,0.000472544,0.000472544
99,590.846,0.9328,0.63745,1.10944,0.94822,0.95445,0.98076,0.63041,1.31566,0.56706,1.3547,0.000468044,0.000468044,0.000468044
100,596.119,0.9478,0.64964,1.11703,0.92369,0.94534,0.97861,0.62846,1.2693,0.56169,1.3284,0.000463545,0.000463545,0.000463545
101,601.675,0.96476,0.63824,1.12087,0.89347,0.96583,0.97138,0.63173,1.27295,0.57191,1.3363,0.000459045,0.000459045,0.000459045
